Departure_2011,Ticket_class_description,Departure,Destination,Paid_fare,Supplier_name,Directorate,metric1,metric2
January,Economy,UK,UK,276.62,BRITISH AIRWAYS,IPS,276.62,276.62
January,Economy,UK,UK,198.54,BRITISH AIRWAYS,IPS,198.54,198.54
February,Economy,UK,UK,253.59,BMI,IPS,253.59,253.59
January,Economy,UK,UK,44.74,EASYJET,IPS,44.74,44.74
February,Economy,UK,UK,66.91,FLYBE BRITISH EUROPEAN,IPS,66.91,66.91
February,Economy,UK,UK,111.03,EASYJET,IPS,111.03,111.03
January,Economy,UK,UK,211.62,BRITISH AIRWAYS,IPS,211.62,211.62
February,Economy,UK,UK,11.99,FLYBE BRITISH EUROPEAN,IPS,11.99,11.99
February,Economy,UK,Non EEA,491.03,BRITISH AIRWAYS,IPS,491.03,491.03
January,Economy,UK,UK,9.6,FLYBE BRITISH EUROPEAN,IPS,9.6,9.6
February,Economy,UK,UK,146.62,BRITISH AIRWAYS,IPS,146.62,146.62
February,Economy,UK,Non EEA,772.1,QATAR AIRWAYS,IPS,772.1,772.1
January,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS,23.98,23.98
February,Economy,UK,UK,42.85,BRITISH AIRWAYS,IPS,42.85,42.85
February,Economy,UK,UK,169.8,MANX2,IPS,169.8,169.8
January,Economy,UK,UK,87.03,EASYJET,IPS,87.03,87.03
January,Economy,UK,UK,255.31,FLYBE BRITISH EUROPEAN,IPS,255.31,255.31
January,Economy,UK,UK,83.81,FLYBE BRITISH EUROPEAN,IPS,83.81,83.81
January,Economy,UK,UK,48.74,EASYJET,IPS,48.74,48.74
January,Economy,UK,UK,81.6,FLYBE BRITISH EUROPEAN,IPS,81.6,81.6
January,Economy,UK,UK,132.03,EASYJET,IPS,132.03,132.03
January,Economy,UK,UK,95.59,BMI,IPS,95.59,95.59
January,Economy,UK,UK,11.99,FLYBE BRITISH EUROPEAN,IPS,11.99,11.99
January,Economy,UK,UK,97.93,BRITISH AIRWAYS,IPS,97.93,97.93
February,Economy,UK,UK,126.15,FLYBE BRITISH EUROPEAN,IPS,126.15,126.15
January,Economy,UK,UK,11.99,FLYBE BRITISH EUROPEAN,IPS,11.99,11.99
February,Economy,UK,UK,95.03,EASYJET,IPS,95.03,95.03
January,Economy,UK,UK,92.69,BRITISH AIRWAYS,IPS,92.69,92.69
January,Economy,UK,UK,94.34,FLYBE BRITISH EUROPEAN,IPS,94.34,94.34
January,Economy,UK,UK,53.74,EASYJET,IPS,53.74,53.74
January,Business Class,UK,UK,258.54,BRITISH AIRWAYS,IPS,258.54,258.54
January,Business Class,UK,UK,206.54,BRITISH AIRWAYS,IPS,206.54,206.54
February,Economy,UK,UK,35.6,BMI,IPS,35.6,35.6
February,Economy,UK,UK,68.73,BRITISH AIRWAYS,IPS,68.73,68.73
February,Economy,UK,UK,30.5,BMI,IPS,30.5,30.5
February,Economy,UK,UK,86.54,BRITISH AIRWAYS,IPS,86.54,86.54
February,Economy,UK,EEA,113.98,RYANAIR,IPS,113.98,113.98
January,Economy,UK,UK,211.59,BMI,IPS,211.59,211.59
February,Economy,UK,EEA,113.98,RYANAIR,IPS,113.98,113.98
February,Economy,UK,UK,71,FLYBE BRITISH EUROPEAN,IPS,71,71
January,Economy,UK,UK,262.62,BRITISH AIRWAYS,IPS,262.62,262.62
February,Economy,UK,UK,79,FLYBE BRITISH EUROPEAN,IPS,79,79
January,Economy,UK,UK,88.01,FLYBE BRITISH EUROPEAN,IPS,88.01,88.01
February,Economy,UK,UK,129.8,BRITISH AIRWAYS,IPS,129.8,129.8
January,Economy,UK,UK,222.01,FLYBE BRITISH EUROPEAN,IPS,222.01,222.01
January,Economy,UK,UK,185.82,FLYBE BRITISH EUROPEAN,IPS,185.82,185.82
January,Economy,UK,UK,295.59,BMI,IPS,295.59,295.59
January,Economy,UK,UK,141.51,FLYBE BRITISH EUROPEAN,IPS,141.51,141.51
February,Economy,UK,UK,195.59,BMI,IPS,195.59,195.59
January,Economy,UK,UK,127.5,FLYBE BRITISH EUROPEAN,IPS,127.5,127.5
March,Economy,UK,Non EEA,385.29,KLM-ROYAL DUTCH AIRLINES,IPS,385.29,385.29
February,Economy,UK,Non EEA,50,QATAR AIRWAYS,IPS,50,50
February,Economy,UK,Non EEA,772.1,QATAR AIRWAYS,IPS,772.1,772.1
February,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS,23.98,23.98
February,Economy,UK,Non EEA,50,QATAR AIRWAYS,IPS,50,50
February,Economy,UK,UK,57.85,BRITISH AIRWAYS,IPS,57.85,57.85
February,Economy,UK,UK,57.74,EASYJET,IPS,57.74,57.74
February,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS,23.98,23.98
January,Economy,UK,UK,11.99,FLYBE BRITISH EUROPEAN,IPS,11.99,11.99
February,Economy,UK,Non EEA,616.67,QANTAS AIRWAYS,IPS,616.67,616.67
February,Economy,UK,UK,86.54,BRITISH AIRWAYS,IPS,86.54,86.54
January,Economy,UK,UK,151.54,BRITISH AIRWAYS,IPS,151.54,151.54
February,Economy,UK,UK,104.62,BRITISH AIRWAYS,IPS,104.62,104.62
February,Business Class,UK,UK,161.8,BRITISH AIRWAYS,IPS,161.8,161.8
February,Economy,UK,UK,114.62,BRITISH AIRWAYS,IPS,114.62,114.62
February,Economy,UK,UK,62.85,BRITISH AIRWAYS,IPS,62.85,62.85
February,Economy,UK,UK,160.51,FLYBE BRITISH EUROPEAN,IPS,160.51,160.51
